requirement_id,coverage_item_id,technique,analysis_id,test_case_id,coverage_status
R1,CI-1,EP,EP-1,TC-001,Full
R2,CI-2,EP,EP-2,TC-002,Full
R3,CI-2,EP,EP-3,TC-003,Full
R4,CI-3,EP,EP-4,TC-004,Full
R5,CI-4,EP,EP-5,TC-005,Full
R6,CI-5,EP,EP-6,TC-006,Full
R7,CI-6,EP,EP-7,TC-007,Full
R8,CI-1,EP,EP-1,TC-001,Full
R9,CI-7,EP,EP-8,TC-008,Full
R9,CI-12,EP,EP-11,TC-017,Full
R10,CI-7,EP,EP-9,TC-009,Full
R11,CI-8,DT,DT-1,TC-010,Full
R11,CI-8,DT,DT-1,TC-013,Full
R12,CI-8,DT,DT-1,TC-011,Full
R13,CI-8,DT,DT-1,TC-012,Full
R14,CI-9,Scenario,SC-10,TC-015,Full
R15,CI-10,EP,EP-10,TC-014,Full
R15,CI-12,EP,EP-12,TC-018,Full
R16,CI-11,Scenario,SC-12,TC-016,Full
