requirement_id,coverage_item_id,technique,analysis_id,test_case_id,coverage_status
R1,CI-1,EP,EP-1,TC-001,Full
R2,CI-2,EP,EP-2,TC-002,Full
R2,CI-2,EP|BVA,EP-4|BVA-1,TC-004,Full
R3,CI-2,EP,EP-3,TC-003,Full
R3,CI-2,EP,EP-3,TC-004,Full
R4,CI-3,EP|BVA,EP-5|BVA-2,TC-005,Full
R4,CI-3,EP|BVA,EP-5|BVA-3,TC-006,Full
R4,CI-3,EP|BVA,EP-5|BVA-4,TC-007,Full
R5,CI-4,EP,EP-8,TC-008,Full
R6,CI-5,EP,EP-9,TC-009,Full
R6,CI-5,DT,DT-1,TC-010,Full
R6,CI-5,DT|BVA,DT-1|BVA-5,TC-011,Full
R6,CI-5,DT|BVA,DT-1|BVA-6,TC-012,Full
R6,CI-5,DT,DT-1,TC-013,Full
R7,CI-13,EP,EP-11,TC-019,Full
R8,CI-7,EP,EP-10,TC-014,Full
R9,CI-8,Scenario,SC-12,TC-016,Full
R10,CI-9,EP,EP-12,TC-020,Full
R11,CI-10,Scenario,SC-10,TC-015,Full
R12,CI-14,Scenario,SC-15,TC-021,Full
